,vendor_name,address_line_1,city,state,zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
107,"Allegra Burnette & Associates LLC","353 6th Avenue",Brooklyn,"New York",11215,40.670711,-73.981525,1,rooftop,353,"6th Ave",,,Brooklyn,NY,"Kings County",11215,US,"City of New York"
108,"Alliance Supply Inc.","1743 48 Street",Brooklyn,"New York",11204,40.629519,-73.981251,1,rooftop,1743,"48th St",,,Brooklyn,NY,"Kings County",11204,US,"City of New York"
109,"Alliance Trucking LLC","9017 Avenue K",Brooklyn,"New York",11236,40.637424,-73.901947,1,rooftop,9017,"Ave K",,,Brooklyn,NY,"Kings County",11236,US,"City of New York"
110,"Allstar Homecare Agency, Inc.","762 59 Street",Brooklyn,"New York",11220,40.636252,-74.00975,1,rooftop,762,"59th St",,,Brooklyn,NY,"Kings County",11220,US,"City of New York"
111,"Allure Wigs Inc.","806 Macdonough Street",Brooklyn,"New York",11233,40.684299,-73.914026,1,rooftop,806,"Mac Donough St",,,Brooklyn,NY,"Kings County",11233,US,"City of New York"
112,"Almat Urban LLC","78 Union Street",Brooklyn,"New York",11231,40.68463,-74.004254,1,rooftop,78,"Union St",,,Brooklyn,NY,"Kings County",11231,US,"City of New York"
113,"Alter Lev Inc.","1526 40 Street",Brooklyn,"New York",11218,40.636896,-73.981896,1,rooftop,1526,"40th St",,,Brooklyn,NY,"Kings County",11218,US,"City of New York"
114,"Alternative Reaction to Anger Inc.","1223 East 83rd Street",Brooklyn,"New York",11236,40.631576,-73.904878,1,rooftop,1223,"E 83rd St",,,Brooklyn,NY,"Kings County",11236,US,"City of New York"
115,"Altimate Environmental Solutions LLC","2017 Coyle Street",Brooklyn,"New York",11229,40.602756,-73.937279,1,rooftop,2017,"Coyle St",,,Brooklyn,NY,"Kings County",11229,US,"City of New York"
116,"Alyssa Meadows","558 Kingston Ave Apt# 4",Brooklyn,"New York",11203,40.660218,-73.942748,1,rooftop,558,"Kingston Ave",Apt,4,Brooklyn,NY,"Kings County",11203,US,"City of New York"
117,"Alzerina LLC","1535 East 14th Street Apt 5D",Brooklyn,"New York",11230,40.611923,-73.959641,1,rooftop,1535,"E 14th St",Apt,5D,Brooklyn,NY,"Kings County",11230,US,"City of New York"
118,"Amanda Phingbodhipakkiya","850 3rd Ave",Brooklyn,"New York",11232,40.658764,-74.003494,1,rooftop,850,"3rd Ave",,,Brooklyn,NY,"Kings County",11232,US,"City of New York"
119,"Amarachi Inc.","189 Bridge Street",Brooklyn,"New York",11201,40.698029,-73.984825,1,rooftop,189,"Bridge St",,,Brooklyn,NY,"Kings County",11201,US,"City of New York"
120,"Amazonia Construction Inc.","111 Broadway",Brooklyn,"New York",11249,40.710516,-73.964446,1,rooftop,111,Broadway,,,Brooklyn,NY,"Kings County",11249,US,"City of New York"
121,"Amelia Fowler","669 Franklin Avenue",Brooklyn,"New York",11238,40.675629,-73.956029,1,rooftop,669,"Franklin Ave",,,Brooklyn,NY,"Kings County",11238,US,"City of New York"
122,"American Architectural Products, Inc.","301 Stagg Street",Brooklyn,"New York",11206,40.710203,-73.937093,1,rooftop,301,"Stagg St",,,Brooklyn,NY,"Kings County",11206,US,"City of New York"
123,"American Architectural Windows, Inc.","301 Stagg Street",Brooklyn,"New York",11206,40.710203,-73.937093,1,rooftop,301,"Stagg St",,,Brooklyn,NY,"Kings County",11206,US,"City of New York"
124,"American Architectural Windows, Inc.","301 Stagg Street",Brooklyn,"New York",11206,40.710203,-73.937093,1,rooftop,301,"Stagg St",,,Brooklyn,NY,"Kings County",11206,US,"City of New York"
125,"American Builders & Contracting, Inc.","2433 Cropsey Avenue",Brooklyn,"New York",11214,40.593726,-73.994316,1,range_interpolation,2433,"Cropsey Ave",,,Brooklyn,NY,"Kings County",11214,US,"TIGER/Line® dataset from the US Census Bureau"
126,"American Commercial Equipment Repair Corp.","234 Meserole Street",Brooklyn,"New York",11206,40.708334,-73.939373,1,rooftop,234,"Meserole St",,,Brooklyn,NY,"Kings County",11206,US,"City of New York"
127,"American Design Language","372 Dekalb Avenue",Brooklyn,"New York",11205,40.689957,-73.962668,1,rooftop,372,"Dekalb Ave",,,Brooklyn,NY,"Kings County",11205,US,"City of New York"
128,AEES,"4016 Church Avenue",Brooklyn,"New York",11203,40.651178,-73.939445,1,rooftop,4016,"Church Ave",,,Brooklyn,NY,"Kings County",11203,US,"City of New York"
129,"American Environmental Assessment & Solutions, Inc.","679 LaFayette Avenue",Brooklyn,"New York",11216,40.690531,-73.946783,1,rooftop,679,"Lafayette Ave",,,Brooklyn,NY,"Kings County",11216,US,"City of New York"
130,"American Sign Language Learning Center, Inc.","1157 East 19th Street",Brooklyn,"New York",11230,40.622254,-73.956783,1,rooftop,1157,"E 19th St",,,Brooklyn,NY,"Kings County",11230,US,"City of New York"
131,"AMF Electrical Contracting Corp.","895 Dean Street",Brooklyn,"New York",11238,40.678701,-73.960311,1,rooftop,895,"Dean St",,,Brooklyn,NY,"Kings County",11238,US,"City of New York"
132,"AMGCM LLC","727 Crescent Street",Brooklyn,"New York",11208,40.66981,-73.868421,1,rooftop,727,"Crescent St",,,Brooklyn,NY,"Kings County",11208,US,"City of New York"
133,"AMS General Contractor Inc","110 Graham Avenue",Brooklyn,"New York",11206,40.705007,-73.942654,1,rooftop,110,"Graham Ave",,,Brooklyn,NY,"Kings County",11206,US,"City of New York"
134,"Amy Howell Architecture PLLC","552 Lafayette Avenue",Brooklyn,"New York",11205,40.689547,-73.952967,1,rooftop,552,"Lafayette Ave",,,Brooklyn,NY,"Kings County",11205,US,"City of New York"
135,"Anahsa, LLC","651 Carroll Street",Brooklyn,"New York",11215,40.674663,-73.979736,1,rooftop,651,"Carroll St",,,Brooklyn,NY,"Kings County",11215,US,"City of New York"
136,"Andre D. Wagner","1163 Gates Ave",Brooklyn,"New York",11221,40.691595,-73.920201,1,rooftop,1163,"Gates Ave",,,Brooklyn,NY,"Kings County",11221,US,"City of New York"
