,vendor_name,address_line_1,city,state,zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
228,"RISING SUN CONSTRUCTION US INC","220 Van Name Avenue","Staten Island","New York",10303,40.63067,-74.153991,1,rooftop,220,"Van Name Ave",,,"Staten Island",NY,"Richmond County",10303,US,"City of New York"
229,"RLS Consulting Services LLC","147 Livermore Ave","Staten Island","New York",10314,40.620432,-74.137714,1,rooftop,147,"Livermore Ave",,,"Staten Island",NY,"Richmond County",10314,US,"City of New York"
230,"RNH Electric Co., Inc.","516 Industrial Loop","Staten Island","New York",10309,40.548305,-74.231381,1,rooftop,516,"Industrial Loop",,,"Staten Island",NY,"Richmond County",10309,US,"City of New York"
231,"Roc-A-Natural LLC","18 Waverly Place","Staten Island","New York",10304,40.618196,-74.085413,1,rooftop,18,"Waverly Pl",,,"Staten Island",NY,"Richmond County",10304,US,"City of New York"
232,"S & V Electrical Corporation","443 Wild Avenue","Staten Island","New York",10314,40.586031,-74.195592,1,rooftop,443,"Wild Ave",,,"Staten Island",NY,"Richmond County",10314,US,"City of New York"
233,"SAFECO Construction Corp.","600 Gulf Avenue","Staten Island","New York",10314,40.615199,-74.179639,1,rooftop,600,"Gulf Ave",,,"Staten Island",NY,"Richmond County",10314,US,"City of New York"
234,"SAFECO Construction Corp.","600 Gulf Avenue","Staten Island","New York",10314,40.615199,-74.179639,1,rooftop,600,"Gulf Ave",,,"Staten Island",NY,"Richmond County",10314,US,"City of New York"
235,"Safety Environmental Company Of NY, Inc.","33 Clinton Avenue","Staten Island","New York",10301,40.643742,-74.098233,1,rooftop,33,"Clinton Ave",,,"Staten Island",NY,"Richmond County",10301,US,"City of New York"
236,"Sagona Landscaping, Ltd.","30 Sagona Court","Staten Island","New York",10309,40.527506,-74.211606,1,rooftop,30,"Sagona Ct",,,"Staten Island",NY,"Richmond County",10309,US,"City of New York"
237,"San Sebastian Enterprise Ltd.","120 Winant Place","Staten Island","New York",10309,40.536669,-74.24148,1,rooftop,120,"Winant Pl",,,"Staten Island",NY,"Richmond County",10309,US,"City of New York"
238,"The Itsy Bitsy Daycare","613 Midland Ave","Staten Island","New York",10306,40.57168,-74.091649,1,rooftop,613,"Midland Ave",,,"Staten Island",NY,"Richmond County",10306,US,"City of New York"
239,"She Media NY, LLC","83 Cromwell Avenue","Staten Island","New York",10304,40.591524,-74.098324,1,rooftop,83,"Cromwell Ave",,,"Staten Island",NY,"Richmond County",10304,US,"City of New York"
240,"Shelter Electric Maintenance Corp.","267 Jewett Avenue","Staten Island","New York",10302,40.630644,-74.130248,1,rooftop,267,"Jewett Ave",,,"Staten Island",NY,"Richmond County",10302,US,"City of New York"
